Field,Old Title/Caption,NEW Title/Caption
ActivityStateModifiedDT,Activity State Modified Date Time,Activity State Modified
AdmitDate,Admit Date Time,Admited
DischargeDate,Discharge Date Time,Discharged
DispositionModifiedDT,Disposition Modified Date Time,Disposition Modified
DocumentDate,Document Date Time,Document
EventPlannedDateTime,Event Planned Time,Event Planned
FirstDrugAdministrationDate,First Drug Administration Date Time,First Drug Administration
FirstObservationRequestDate,First Observation Request Date Time,First Observation Request
FirstObservationResultDate,First Observation Result Date Time,First Observation Result
FormatValidationStatusModifiedDT,Format Validation Status Modified Date Time,Format Validation Status Modified
LastDrugAdministrationDate,Last Drug Administration Date Time,Last Drug Administration
LastObservationRequestDate,Last Observation Request Date Time,Last Observation Request
LastObservationResultDate,Last Observation Result Date Time,Last Observation Result
LoadDT,Load Date Time,Loaded
MessageCreationDateTime,Message Creation Time,Message Created
PrimaryProcedureDate,Primary Procedure Date Time,Primary Procedure
ReceiptDT,Receipt Date Time,Receipt
FormatValidationStatusModifiedDT,Validation Status Date Time,Validation Status
ReceiptDT,Created Date,Created
StartDate,Start Date,Started
TerminationDate,Termination Date,Termination
